id,label,text,view
0,MenuScene,Imam e Hussain Golden Words Developed by: IslamicAppo Privacy Policy Share Rate Us Ayat ul Kursi Dua e Hajat Six Kalmas || 6 Kalmas,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout com.google.android.gms.ads.AdView
1,NamazeJanaza,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
2,ImanMufasil,/ Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
3,AllDaroodShareef,/ Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
4,MainActivity,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
5,DuaJameela,/ Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
6,Kalmas,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
7,DuaHajat,/ Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
8,GanjulArsh,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
9,Qufal,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
10,AyatUlKusi,/ Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
11,LoheQurani,Page Number :,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.AdView
