id,label,text,view
0,SplashActivity,--------- * Maintenance Notice *,android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ProgressBar android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
1,LoginActivity,Entrar Password is Empty Username is Empty Server name is Empty,android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.FrameLayout android.widget.ImageView android.widget.EditText android.widget.FrameLayout android.widget.ImageView android.widget.EditText android.widget.FrameLayout android.widget.ImageView android.widget.EditText android.widget.ImageButton android.widget.ImageView
2,DeviceStatus,Please contact support to activate your account. YOUR TV BOX IS NOT ACTIVE Invalid License! support_email support_phone,android.widget.FrameLayout android.widget.ImageView android.widget.ImageButton android.widget.ProgressBar android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
3,MaintenanceActivity,support_phone support_email Check Now! . Maintenance will be finished at,android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.ImageView
4,CategoriesActivity,OTT SERVICE PROVIDER Button 5 Button 5 Button 5 Button 2 Button 2 Button 5 Button 1,android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.ImageView
5,ChannelListActivity,INDIAN BANGLA INDIAN BANGLA INDIAN BANGLA VOD Name VOD Name CHANNEL NAME Cancel Search CATEGORIES RECENTLY ADDED - -,android.widget.FrameLayout android.widget.FrameLayout android.widget.ListView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ProgressBar android.widget.GridView android.widget.FrameLayout android.support.v7.widget.CardView android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.support.v7.widget.CardView android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.support.v7.widget.CardView android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.EditText android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView
6,PlayStreamEPGActivity,00:00:00 00:00:00 >> Fast Forward is Active Press Play/Pause to Stop TV Guide + Favourite Cancel INDIAN BANGLA Parental (Lock) - Live TV,android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ImageButton android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.FrameLayout android.widget.SeekBar android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.SeekBar android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ProgressBar com.google.android.exoplayer2.ui.SimpleExoPlayerView com.nathnetwork.xciptv.IJKPlayer.xciptvPlayer android.widget.FrameLayout android.widget.ImageView android.widget.ImageView com.nathnetwork.xciptv.IJKPlayer.ui.ControlLayout com.nathnetwork.xciptv.IJKPlayer.ui.TouchLayout com.nathnetwork.xciptv.IJKPlayer.media.IjkVideoView android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
7,CatchupDetailsActivity,%02d:%02d:%02d %02d:%02d:%02d ) - (,android.widget.FrameLayout android.widget.ProgressBar android.widget.FrameLayout android.widget.ImageView android.widget.SeekBar android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.SeekBar android.widget.FrameLayout android.widget.FrameLayout android.widget.ListView com.google.android.exoplayer2.ui.SimpleExoPlayerView com.nathnetwork.xciptv.IJKPlayer.xciptvPlayer android.widget.FrameLayout android.widget.ImageView android.widget.ImageView com.nathnetwork.xciptv.IJKPlayer.ui.ControlLayout com.nathnetwork.xciptv.IJKPlayer.ui.TouchLayout com.nathnetwork.xciptv.IJKPlayer.media.IjkVideoView
8,RadioPlayerActivity,TEST,android.widget.FrameLayout android.widget.ProgressBar com.chibde.visualizer.BarVisualizer android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.ImageView
9,MovieInfoActivity,VOD's Plot DATE DIRECTOR: GENRE: CAST: RATING: PLAY,android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.Button android.widget.LinearLayout android.support.v7.widget.CardView android.widget.ImageView android.widget.ImageView
